Course Code,Title,Credit,CTE,English,Math,PE,Science,Social Studies,V&P Arts,Other,Course Equiv,Quant
CTE601,Automotive Maintenance (CHS),0.5,X,O,O,O,O,O,O,O,O,O
605CTE/CTE605,Automotive Technology (CHS),.5 or 1.0,X,O,O,O,O,O,O,O,O,O
151ALT,AVID 9,1,O,O,O,O,O,O,O,Elective,O,O
251ALT,AVID 10,1,O,O,O,O,O,O,O,Elective,O,O
351ALT,AVID 11,1,O,O,O,O,O,O,O,Elective,O,O
455ALT,AVID 12,1,X,O,O,O,O,O,O,CCRS,X,O
FAA329,Bass Guitar,0.5,O,O,O,O,O,O,X,O,O,O
FAA201,Beginning Drama,0.5,O,O,O,O,O,O,X,O,O,O
FAA181,Beginning Glass Art,0.5,O,O,O,O,O,O,X,O,O,O
357FAA,Beginning Jazz Ensemble ,1,O,O,O,O,O,O,X,O,O,O
201SCI,Biology,1,O,O,O,O,X,O,O,O,O,X
407SCI,Biotechnology,1,X,O,O,O,X,O,O,O,X,X
315MTH,Bridge to College Mathematics,1,O,O,X,O,O,O,O,O,O,X
CTE527,Business & Professional Services Internship,0.5,X,O,O,O,O,O,O,O,O,O
CTE209,Business Law,0.5,X,O,O,O,O,O,O,O,O,O
501MTH,Calculus,1,O,O,X,O,O,O,O,O,O,X
PED209/210,Cardio & Core Training,.5 or 1.0,O,O,O,X,O,O,O,O,O,O
CTE515,Career Choices,0.5,X,O,O,O,O,O,O,O,O,O
FAA131,Cartooning 1,0.5,O,O,O,O,O,O,X,O,O,O
FAA137,Cartooning 2,0.5,O,O,O,O,O,O,X,O,O,O
FAA121,Ceramics 1,0.5,O,O,O,O,O,O,X,O,O,O
FAA125/126,Ceramics 2,.5 or 1.0,O,O,O,O,O,O,X,O,O,O
301SCI,Chemistry,1,O,O,O,O,X,O,O,O,O,X
CTE125,Child Development,0.5,X,O,O,O,O,O,O,O,O,O
141WLA,Chinese 1,1,O,O,O,O,O,O,O,WL,O,O
241WLA,Chinese 2,1,O,O,O,O,O,O,O,WL,O,O
341WLA,Chinese 3,1,O,O,O,O,O,O,O,WL,O,O
441WLA,Chinese 4,1,O,O,O,O,O,O,O,WL,O,O
ENG541,Cinema Visions,0.5,O,O,O,O,O,O,O,Elective,O,O
GRD421/422,College & Career Readiness Seminar (CCRS),0.5,X,O,O,O,O,O,O,CCRS,X,O
CTE521,Communication & Information Technology Internship,0.5,X,O,O,O,O,O,O,O,O,O
015ENG,Composition & Literature (ELs),1,O,O,O,O,O,O,O,Elective,O,O
CTE225,Computer Applications,0.5,X,O,O,O,O,O,O,O,O,X
351FAA,Concert Band,1,O,O,O,O,O,O,X,O,O,O
401FAA,Concert Choir,1,O,O,O,O,O,O,X,O,O,O
363FAA,Concert Orchestra,1,O,O,O,O,O,O,X,O,O,O
ENG524,Contemporary Authors,0.5,O,O,O,O,O,O,O,Elective,O,O
SOC411,Contemporary Global Issues,0.5,O,O,O,O,O,X,O,O,O,O
PED241/242,Court Sports,.5 or 1.0,O,O,O,X,O,O,O,O,O,O
ENG511,Creative Writing I,0.5,O,O,O,O,O,O,O,Elective,O,O
ENG513,Creative Writing II,0.5,O,O,O,O,O,O,O,Elective,O,O
CTE321,Digital Photography I,0.5,X,O,O,O,O,O,X,O,X,O
CTE361/362,Digital Photography II,.5 or 1.0,X,O,O,O,O,O,X,O,X,O
FAA215/216,Drama Improvisation,.5 or 1.0,O,O,O,O,O,O,X,O,O,O
FAA111,Drawing & Painting 1,0.5,O,O,O,O,O,O,X,O,O,O
FAA113/114,Drawing & Painting 2,.5 or 1.0,O,O,O,O,O,O,X,O,O,O
CTE215,Economics,0.5,X,O,O,O,O,X,O,O,X,X
CTE525,Educational Studies Internship,0.5,X,O,O,O,O,O,O,O,O,O
CTE529,Energy & Sustainability Internship,0.5,X,O,O,O,O,O,O,O,O,O
375CTE,Engineer Your World,1,X,O,O,O,O,O,O,O,O,X
CTE523,Engineering Internship,0.5,X,O,O,O,O,O,O,O,O,O
101ENG,English 1,1,O,X,O,O,O,O,O,O,O,O
151ENG,English 1 Honors,1,O,X,O,O,O,O,O,O,O,O
201ENG,English 2,1,O,X,O,O,O,O,O,O,O,O
251ENG,English 2 Honors,1,O,X,O,O,O,O,O,O,O,O
301ENG,English 3,1,O,X,O,O,O,O,O,O,O,O
351ENG,English 3 Honors,1,O,X,O,O,O,O,O,O,O,O
401ENG,English 4,1,O,X,O,O,O,O,O,O,O,O
461ENG,English 4 EvCC,1,O,X,O,O,O,O,O,O,O,O
011ENG,English Acquisition (ELs),1,O,O,O,O,O,O,O,Elective,O,O
533SCI,Environmental Systems Design,1,X,O,O,O,X,O,O,O,X,X
CTE227,Exploring Computer Science,0.5,X,O,O,O,O,O,O,O,O,X
CTE110,Family Health,0.5,X,O,O,O,O,O,O,Health,X,O
PED351,Flexibility & Fitness I ,0.5,O,O,O,X,O,O,O,O,O,O
PED353/354,Flexibility & Fitness II,.5 or 1.0,O,O,O,X,O,O,O,O,O,O
PED357/358,Flexibility & Fitness III,.5 or 1.0,O,O,O,X,O,O,O,O,O,O
111WLA,French 1,1,O,O,O,O,O,O,O,WL,O,O
211WLA,French 2,1,O,O,O,O,O,O,O,WL,O,O
311WLA,French 3,1,O,O,O,O,O,O,O,WL,O,O
411WLA,French 4,1,O,O,O,O,O,O,O,WL,O,O
013STS,Functional Academics (IEP),1,O,O,O,O,O,O,O,Elective,O,O
GRD407/408,Functional College & Career Readiness Seminar (IEP),0.5,O,O,O,O,O,O,O,CCRS,O,O
033STS,Functional Daily Living (IEP),1,O,O,O,O,O,O,O,Elective,O,O
"061ENG, 063ENG, 065ENG, 067ENG",Functional English (IEP),1,O,X,O,O,O,O,O,O,O,O
023MTH,Functional Mathematics (IEP),1,O,O,X,O,O,O,O,O,O,X
023ENG,Functional Reading (IEP),1,O,X,O,O,O,O,O,O,O,O
053STS,Functional Vocational Exploration (IEP),1,O,O,O,O,O,O,O,Elective,O,O
043ENG,Functional Written Language (IEP),1,O,X,O,O,O,O,O,O,O,O
201MTH,Geometry,1,O,O,X,O,O,O,O,O,O,X
251MTH,Geometry Honors,1,O,O,X,O,O,O,O,O,O,X
121WLA,German 1,1,O,O,O,O,O,O,O,WL,O,O
221WLA,German 2,1,O,O,O,O,O,O,O,WL,O,O
321WLA,German 3,1,O,O,O,O,O,O,O,WL,O,O
421WLA,German 4,1,O,O,O,O,O,O,O,WL,O,O
SOC501,Government,0.5,O,O,O,O,O,X,O,O,O,O
CTE323,Graphic Design I,0.5,X,O,O,O,O,O,X,O,X,O
CTE357,Graphic Design II,0.5,X,O,O,O,O,O,X,O,X,O
CTE359,Graphic Design III,0.5,X,O,O,O,O,O,X,O,X,O
FAA321,Guitar 1,0.5,O,O,O,O,O,O,X,O,O,O
FAA323/324,Guitar 2,.5 or 1.0,O,O,O,O,O,O,X,O,O,O
FAA327/328,Guitar 3,.5 or 1.0,O,O,O,O,O,O,X,O,O,O
343FAA,Honors Wind Ensemble,1,O,O,O,O,O,O,X,O,O,O
SOC101,iGeography,0.5,O,O,O,O,O,X,O,O,O,O
CTE105,Independent Living,0.5,X,O,O,O,O,O,O,O,O,O
FAA203/204,Intermediate Drama,.5 or 1.0,O,O,O,O,O,O,X,O,O,O
FAA101,Introduction to Art,0.5,O,O,O,O,O,O,X,O,O,O
FAA107,Introduction to Art: Ceramics,0.5,O,O,O,O,O,O,X,O,O,O
FAA117,Introduction to Art: Design,0.5,O,O,O,O,O,O,X,O,O,O
FAA115,Introduction to Art: Drawing & Painting,0.5,O,O,O,O,O,O,X,O,O,O
577CTE,Introduction to Education,1,X,O,O,O,O,O,O,O,O,O
CTE353,Introduction to Graphic Design,0.5,X,O,O,O,O,O,X,O,X,O
SOC113,Introduction to Law,0.5,O,O,O,O,O,X,O,O,O,O
PED211/212,Introduction to Weight Training,.5 or 1.0,O,O,O,X,O,O,O,O,O,O
407FAA,Jazz Choir,1,O,O,O,O,O,O,X,O,O,O
359FAA,Jazz Ensemble ,1,O,O,O,O,O,O,X,O,O,O
ENG515,Journalism,0.5,O,O,O,O,O,O,O,Elective,O,O
SER101,Leadership,0.5,O,O,O,O,O,O,O,Elective,O,O
ENG531/532,Library & Information Science,.5 or 1.0,O,O,O,O,O,O,O,Elective,O,O
PED221/222,Lifetime Sports,.5 or 1.0,O,O,O,X,O,O,O,O,O,O
FAA353,Marching Band,1,O,O,O,X,O,O,X,O,X,O
255CTE,Marketing I,1,X,O,O,O,O,O,O,O,O,O
257CTE,Marketing II,1,X,O,O,O,O,O,O,O,O,O
265CTE,Marketing III – School Store,1,X,O,O,O,O,O,O,O,O,O
267CTE,Marketing IV – School Store,1,X,O,O,O,O,O,O,O,O,O
CTE531,Medical Careers Internship,0.5,X,O,O,O,O,O,O,O,O,O
413FAA,Men’s Vocal Ensemble,1,O,O,O,O,O,O,X,O,O,O
035MTH,Modified Algebraic Concepts A (IEP),1,O,O,X,O,O,O,O,O,O,O
037MTH,Modified Algebraic Concepts B (IEP),1,O,O,X,O,O,O,O,O,O,O
